s1 s2
4.858000625940437800e+00 2.826010372236161805e-01
6.240853570568134501e-01 5.184533703913760672e-01
-4.199086193585026272e-02 -1.871655705903019218e-02
8.677473334111797110e-01 1.849751335717681466e-01
1.639122625443113768e-01 8.987052401341786290e-01
6.927444396985170671e-01 2.028210743765225532e-01
-4.640081717380638016e-01 4.513203311826649577e-01
1.485411412694810807e+00 3.125609085004096288e-01
-1.075339569248093152e+00 6.259344467148728608e-01
-7.613972216362109302e-01 2.375340545040040552e-01
1.338192700089981590e+00 7.686692848587993732e-01
6.588747985308167632e-01 5.135539329166963762e-01
1.327894958767181222e-01 1.086240338000997285e+00
7.752279384159387332e-01 1.302297318408342175e+00
-4.821693390565675585e-01 7.351009924555964581e-01
3.155747289668815458e-01 1.107218706773340333e+00
2.513980609899888918e+00 8.428102734756528491e-01
-2.317265466283459308e+00 5.975135477333015643e-01
-3.855736745800739662e+00 7.764001763368195697e-01
-3.969603113007594275e-02 6.043149249104734499e-01
2.679337471443471230e+00 5.092937826987301575e-01
-2.409700290980901216e-01 6.574822350378497493e-01
-1.354071933102731107e+00 3.266716101392228011e-01
3.334684176112688636e+00 3.311631033423749759e-01
3.762315780683887501e-01 -5.910081138553356650e-02
-3.465488242817815312e+00 4.286424325725979312e-01
-4.742295744276601610e+00 -3.757252909406100239e-01
2.119962912494286922e+00 -1.234738500548953066e-01
-4.194094142533566938e+00 -2.315228630143634225e-02
2.688784791984885292e+00 2.523836460578138263e-02
-4.172999092842613500e+00 1.661542124245252161e-01
3.170799871419878624e+00 -7.210456726757218382e-01
-3.264042369296052293e+00 -3.200379901523783821e-01
-2.719829613002845203e+00 -4.030254309893213649e-01
2.214753453405298611e+00 -2.475795394154177709e-01
-2.665177038955116817e+00 -1.198129740861550552e+00
1.697635030926720079e+00 -1.378957381218195444e+00
2.097587965276403121e+00 -7.516989717888489242e-01
1.717810801713700875e-01 -4.253462438099558929e-01
1.347107125901594316e+00 -7.554101958086792967e-01
2.458399620999742297e+00 -1.064159463586805243e+00
-6.377830450362534931e-01 -1.521552220473691985e+00
-3.668659130511886524e-01 -2.522784118781449259e-01
3.038583895702738236e+00 -6.942596233138709216e-01
-1.453072144584528713e+00 -7.818489346148609354e-01
-2.803800430441461544e-01 -6.252514585539702408e-01
2.471127924516352270e-01 -5.522621153828525253e-01
1.693511451190773842e+00 1.612167993553360046e-01
-2.055861137093401680e+00 -2.346065680924128150e-01
1.032315699892536909e+00 3.376710018911450728e-01
2.186674577091667349e+00 1.983663625145784259e-01
1.968543174553067931e-01 3.303471297131184703e-01
3.233710266692226276e-01 4.838966511190254116e-01
-9.994049518336031168e-01 5.883973537571185464e-01
-4.224770577703435670e+00 7.077614215567074041e-01
6.600192699409511699e-01 3.372599719294429033e-01
-4.587039247246054163e-01 3.416652357678860441e-01
1.212896016660453435e+00 9.333015044695517348e-01
-1.338071746258183703e+00 2.072198259285784605e-02
-1.042710466071496089e+00 7.930958187541115034e-01
7.085569599546520658e-01 1.292405284737654814e+00
-5.444859587187870220e-01 7.993179748715791844e-01
-8.992698030180128199e-02 8.004265359233170285e-01
4.918456638859106667e-01 3.162391326650152990e-01
-1.044562326703984745e+00 1.307109426719067935e+00
-1.614139135872918684e+00 6.976609308004193544e-01
8.596581801306079074e-01 5.115595854611701965e-01
4.199012840484624753e+00 4.743130402380855704e-01
-2.691547316600817474e-01 4.761175904191286001e-01
1.880337424820535563e+00 3.294876609785659105e-01
-8.142269308655757376e-01 2.816802688442254787e-02
-3.411287723430953989e+00 1.328876681331139231e-01
1.314630632046670522e+00 5.009501613890070537e-01
-7.059553627851856694e-01 -2.666011950922783647e-02
-1.095830603419430060e+00 4.381848570058609615e-01
-8.008500621857316260e-01 -1.018689671183187345e-01
-1.642148057723217702e+00 -2.194839491082370975e-01
9.561336500319213005e-01 5.851041501999848515e-02
-2.439691847563971727e+00 -1.083988879444812703e-01
-2.725262134532731029e-01 -2.315584393382705275e-01
-1.002362940686590598e+00 -4.589841240838004044e-01
-2.383173604082764463e+00 -5.490156225565721027e-01
8.963555588602714064e-01 -3.941981795252383902e-01
4.970109941034329681e-01 -3.522741949601121414e-01
1.404182930525410988e+00 -3.072854489737241734e-01
1.818847225778272625e+00 -1.750699692875378743e-01
5.742686613960452657e-01 -7.646299610707130157e-01
-1.386157680211697052e+00 -8.346651690357431708e-01
1.614111710881839690e+00 -6.575446051661338887e-01
1.323424783924770143e+00 -1.168458912674970707e+00
-4.772065402576162740e-01 -8.305408095180182304e-01
-4.019961537402214624e+00 -1.548047316038932975e-01
-6.372434606918997435e-01 -7.714588692395942804e-01
-4.362891874144862459e-01 -3.300102971834582011e-01
-1.608354407178578693e+00 -4.738534521263977339e-01
2.913645631307821393e+00 -2.634711456887751657e-01
-1.185167274750403177e+00 -2.043608243580804507e-01
-7.363327184880470444e-01 -7.136850847737186143e-01
-3.176384166512019602e-01 -1.996501654019965932e-01
1.663001764719265418e+00 -4.582963379559326644e-01
8.159397831187625849e-01 2.928880459658327398e-02
9.761058240802013009e-01 -2.057154904844683829e-02
1.977428068693382057e-01 2.312772106503303560e-01
-1.287770302050195381e+00 2.862004122938501260e-01
-1.158062404524796474e+00 4.311030271440579598e-01
-1.387229247704375945e+00 3.679343889502150744e-01
3.895184055912339627e-01 3.426080198610688687e-01
2.146451631603553400e-01 9.629224168172432208e-01
-8.983226218176122713e-02 7.480563145901331090e-02
2.500045911054647796e+00 9.823946007227950528e-01
-2.919222131438205525e-01 2.989983036711641451e-01
1.048511975203681112e+00 2.650533376040549727e-01
-5.078520486208116802e-01 9.040102730390341401e-01
9.129770402258508000e-01 8.471430322834214710e-01
-2.839728349941871954e+00 3.497038311943064248e-01
-3.556463403677607715e+00 3.970907192303614885e-01
